Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1542,ID-1815,ID-1833,ID-1900,ID-1918,ID-1921,ID-1922,ID-1923,ID-1934,ID-1936,ID-1937,ID-1954,ID-1955,ID-1957,ID-1959,ID-1960,ID-1961,ID-1962,ID-1963,ID-1964,ID-1965,ID-1966,ID-1967,ID-1968,ID-1969,ID-1970,ID-1971,ID-1972,ID-1973,ID-1974,ID-1975,ID-1976,ID-1977,ID-1978,ID-1979,ID-1980,ID-1981,ID-1982,affiliation-1542,affiliation-1815,affiliation-1833,affiliation-1900,affiliation-1918,affiliation-1921,affiliation-1922,affiliation-1923,affiliation-1934,affiliation-1936,affiliation-1937,affiliation-1954,affiliation-1955,affiliation-1957,affiliation-1959,affiliation-1960,affiliation-1961,affiliation-1962,affiliation-1963,affiliation-1964,affiliation-1965,affiliation-1966,affiliation-1967,affiliation-1968,affiliation-1969,affiliation-1970,affiliation-1971,affiliation-1972,affiliation-1973,affiliation-1974,affiliation-1975,affiliation-1976,affiliation-1977,affiliation-1978,affiliation-1979,affiliation-1980,affiliation-1981,affiliation-1982,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1981,affiliation_id_1981,affiliation_country_1981,affiliation_display_name_1980,affiliation_id_1980,affiliation_country_1980,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1978,affiliation_id_1978,affiliation_country_1978,affiliation_display_name_1977,affiliation_id_1977,affiliation_country_1977,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1975,affiliation_id_1975,affiliation_country_1975,affiliation_display_name_1974,affiliation_id_1974,affiliation_country_1974,affiliation_display_name_1973,affiliation_id_1973,affiliation_country_1973,affiliation_display_name_1972,affiliation_id_1972,affiliation_country_1972,affiliation_display_name_1971,affiliation_id_1971,affiliation_country_1971,affiliation_display_name_1970,affiliation_id_1970,affiliation_country_1970,affiliation_display_name_1969,affiliation_id_1969,affiliation_country_1969,affiliation_display_name_1968,affiliation_id_1968,affiliation_country_1968,affiliation_display_name_1967,affiliation_id_1967,affiliation_country_1967,affiliation_display_name_1966,affiliation_id_1966,affiliation_country_1966,affiliation_display_name_1965,affiliation_id_1965,affiliation_country_1965,affiliation_display_name_1964,affiliation_id_1964,affiliation_country_1964,affiliation_display_name_1963,affiliation_id_1963,affiliation_country_1963,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1961,affiliation_id_1961,affiliation_country_1961,affiliation_display_name_1960,affiliation_id_1960,affiliation_country_1960,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1957,affiliation_id_1957,affiliation_country_1957,affiliation_display_name_1955,affiliation_id_1955,affiliation_country_1955,affiliation_display_name_1954,affiliation_id_1954,affiliation_country_1954,affiliation_display_name_1937,affiliation_id_1937,affiliation_country_1937,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1934,affiliation_id_1934,affiliation_country_1934,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_display_name_1922,affiliation_id_1922,affiliation_country_1922,affiliation_display_name_1921,affiliation_id_1921,affiliation_country_1921,affiliation_display_name_1918,affiliation_id_1918,affiliation_country_1918,affiliation_display_name_1900,affiliation_id_1900,affiliation_country_1900,affiliation_display_name_1833,affiliation_id_1833,affiliation_country_1833,affiliation_display_name_1815,affiliation_id_1815,affiliation_country_1815,affiliation_display_name_1542,affiliation_id_1542,affiliation_country_1542,affiliation_data,unique_country_count,all_usa,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
Wenting Zhan,1,,https://openalex.org/A5122311631,A5122311631,,Wenting Zhan,"Wenting Zhan, Zhan, Wenting",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wen‐Da Zhou,1,,https://openalex.org/A5032187945,A5032187945,,Wen‐Da Zhou,"Wen-Da Zhou, WenDa Zhou, Wenda Zhou, Wen‐Da Zhou, Zhou, Wenda",53,517,5.555555555555555,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,False,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2025,Ministry of Industry and Information Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I890469752,China,Ministry of Industry and Information Technology,https://openalex.org/I890469752,China,Ministry of Industry and Information Technology,https://openalex.org/I890469752,China,Ministry of Industry and Information Technology,https://openalex.org/I890469752,China,Ministry of Industry and Information Technology,https://openalex.org/I890469752,China,Ministry of Industry and Information Technology,,,
Wes McCabe,2,,https://openalex.org/A5115637746,A5115637746,,Wes McCabe,"Lu, Yinghai, Wes McCabe",1,33,33.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wesam Manassra,1,,https://openalex.org/A5114628465,A5114628465,,Wesam Manassra,"Manassra, Wesam, Wesam Manassra",1,95,95.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will DePue,1,,https://openalex.org/A5122391442,A5122391442,,Will DePue,"DePue, Will, Will DePue",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Ellsworth,1,,https://openalex.org/A5113234628,A5113234628,,Will Ellsworth,"Ellsworth, Will, Will Ellsworth",4,4,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Sheu,1,,https://openalex.org/A5039826825,A5039826825,https://orcid.org/0000-0003-1889-0227,William Sheu,"Alex G. Kim, Anowar J. Shajib, Raphael Shirley, Sheu, W., Sheu, Will, Sheu, William, Shirley, Raphael, W. Sheu, William Sheu",36,477,12.51851851851852,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,False,True,"Australia, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Astronomy and Space,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I95457486,United States,"University of California, Berkeley",https://openalex.org/I161318765,United States,"University of California, Los Angeles",https://openalex.org/I161318765,United States,"University of California, Los Angeles",https://openalex.org/I4210146430,Australia,Astronomy and Space,,,
Wojciech Zaremba,2,,https://openalex.org/A5076651586,A5076651586,,Wojciech Zaremba,"Chen, Yining, Peter Welinder, Robotics, OpenAI, W. A. Zaremba, W.A. Zaremba, Wojciech Zaremba, Zaremba, Wojciech",61,28037,32.5,35,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,False,True,True,"China, France, Poland, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,False,2021,Shandong University of Political Science and Law,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210158291,France,Laboratoire Jacques-Louis Lions,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I4210161460,United States,OpenAI (United States),https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I4210161460,United States,OpenAI (United States),https://openalex.org/I146122375,Poland,Medical University of Białystok,https://openalex.org/I4210102264,China,Shandong University of Political Science and Law,,,,,,,,,,,,,,,
Wulfie Bain,1,,https://openalex.org/A5078486567,A5078486567,,Wulfie Bain,"Bain, Wulfie, Wulfie Bain",3,5,1.5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyatt Thompson,1,,https://openalex.org/A5122355364,A5122355364,,Wyatt Thompson,"Thompson, Wyatt, Wyatt Thompson",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xia,1,,https://openalex.org/A5122356350,A5122356350,,Xia,Xia,2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiangning Chen,1,,https://openalex.org/A5120934893,A5120934893,,Xiangning Chen,"Chen, Xiangning, Xiangning Chen",4,3,0.75,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,False,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2026,China People's Public Security University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I37448385,China,China People's Public Security University,https://openalex.org/I37448385,China,China People's Public Security University
Xiangyu Qi,1,,https://openalex.org/A5064279600,A5064279600,,Xiangyu Qi,"Qi, Xiangyu, Xiangyu Qi",9,127,17.4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,False,True,True,"China, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Princeton University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I76130692,China,Zhejiang University,,,,,,,https://openalex.org/I20089843,United States,Princeton University,https://openalex.org/I20089843,United States,Princeton University,,,
Xiatian Zhang,1,,https://openalex.org/A5082275076,A5082275076,https://orcid.org/0000-0003-0228-6359,Xiatian Zhang,"Francis Xiaitan Zhang, Francis Xiatian Zhang, Xia-Tian Zhang, Xia-tian Zhang, Xiatian Zhang, Zhang, Francis, Zhang, Francis Xiatian, Zhang, Xiatian",56,942,1.1428571428571428,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,False,True,False,"China, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2026,University of Edinburgh,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210126794,China,IBM Research (China),,,,https://openalex.org/I4210126794,China,IBM Research (China),https://openalex.org/I4210126794,China,IBM Research (China),,,,https://openalex.org/I2250955327,China,Huawei Technologies (China),,,,,,,,,,,,,https://openalex.org/I4210133666,China,Tiandi Science & Technology (China),https://openalex.org/I4210121586,China,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,https://openalex.org/I43439940,United Kingdom,University of Southampton,https://openalex.org/I43439940,United Kingdom,University of Southampton,https://openalex.org/I190082696,United Kingdom,Durham University,https://openalex.org/I190082696,United Kingdom,Durham University,https://openalex.org/I190082696,United Kingdom,Durham University,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh
Xin Xiang,1,,https://openalex.org/A5122399524,A5122399524,,Xin Xiang,"Xiang, Xin, Xin Xiang",2,3,1.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xinwei Shi,1,,https://openalex.org/A5063276308,A5063276308,https://orcid.org/0000-0003-2303-0870,Xinwei Shi,"Shi Xinwei, Shi, Xinwei, Xinwei Shi",49,448,3.1818181818181817,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,False,True,True,"China, Singapore, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,4,False,2026,Wuhan University of Science and Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I165932596,Singapore,National University of Singapore,,,,https://openalex.org/I84218800,United States,"University of California, Davis",https://openalex.org/I84218800,United States,"University of California, Davis",https://openalex.org/I4210149087,China,Xi'an Railway Survey and Design Institute,https://openalex.org/I84218800,United States,"University of California, Davis",https://openalex.org/I38877650,China,Zhengzhou University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,,,,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,,,,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I99065089,China,Tsinghua University,https://openalex.org/I90259746,China,Capital University of Economics and Business,https://openalex.org/I84884186,United Kingdom,Newcastle University,https://openalex.org/I84884186,United Kingdom,Newcastle University,https://openalex.org/I190082696,United Kingdom,Durham University,https://openalex.org/I43922553,China,Wuhan University of Science and Technology
Y.-M. Cha,1,,https://openalex.org/A5080528408,A5080528408,,Y.-M. Cha,"Y.-M. Cha, Yeojoon Cha, Yong-Mei Cha, Yuri Cha, Zhang, Yuchen",8,100,11.0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,False,True,True,"Australia, China, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2024,Australian Red Cross Lifeblood,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210140813,China,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I4210140813,China,First Affiliated Hospital of Dalian Medical University,https://openalex.org/I1330342723,United States,Mayo Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I187911006,Australia,Australian Red Cross Lifeblood,,,,,,
Y.-T. Chen,1,,https://openalex.org/A5012306172,A5012306172,,Y.-T. Chen,"Chen, Yinbo, Y.-T. Chen, Yinbo Chen",6,35,0.75,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,True,False,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2026,Beijing University of Technology,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I37796252,China,Beijing University of Technology
Yabin Dai,1,,https://openalex.org/A5113628449,A5113628449,,Yabin Dai,"Dai, Yunxing, Y. L. Dai, Y.L. Dai, Ya-Di Dai, Ya-bin Dai, Yabin Dai, Yongqi Dai",25,421,24.0,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,False,True,False,"China, Taiwan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Xinjiang University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210163247,China,Henan Institute of Science and Technology,,,,,,,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,,,,,,,,,,https://openalex.org/I140221134,China,Anhui Agricultural University,https://openalex.org/I4210095026,China,Poultry Research Institute,https://openalex.org/I78978612,China,Yangzhou University,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,https://openalex.org/I4210138501,China,Chinese Academy of Agricultural Sciences,,,,,,,,,,https://openalex.org/I162838928,Taiwan,National Chung Hsing University,,,,,,,https://openalex.org/I4210095026,China,Poultry Research Institute,,,,https://openalex.org/I96908189,China,Xinjiang University,,,
